HOSPITAL_ID,PAYOR1,APRDRG,SEVERITY,PATS,PWC,TD,TC,XC,XD
1,1,170,3,1,1,6,105227,105227,6
1,1,171,4,1,1,3,72189,72189,3
1,1,175,3,1,1,2,151947,151947,2
1,1,175,4,2,2,31,616111,308055.5,15.5
1,1,180,4,2,2,49,524025,262012.5,24.5
1,1,181,3,1,1,11,235326,235326,11
1,1,181,4,1,1,9,238370,238370,9
1,1,182,2,2,2,4,111912,55956,2
1,1,182,3,7,7,45,740129,105732.7143,6.43
1,1,182,4,2,2,33,369686,184843,16.5
1,1,190,4,3,3,20,356286,118762,6.67
1,1,192,3,3,3,20,209383,69794.3333,6.67
1,1,192,4,3,3,53,431204,143734.6667,17.67
1,1,194,3,14,14,99,832236,59445.4286,7.07
1,1,194,4,13,13,113,883864,67989.5385,8.69
1,1,196,4,2,2,16,143089,71544.5,8
1,1,197,2,3,3,7,93634,31211.3333,2.33
1,1,197,3,5,5,33,267449,53489.8,6.6
1,1,197,4,7,7,75,1015542,145077.4286,10.71
1,1,198,3,1,1,2,14703,14703,2
1,1,199,3,3,3,11,138764,46254.6667,3.67
1,1,199,4,1,1,7,54170,54170,7
1,1,201,2,2,2,6,121428,60714,3
1,1,201,3,4,4,15,104135,26033.75,3.75
1,1,201,4,3,3,18,153946,51315.3333,6
1,1,203,3,1,1,1,13688,13688,1
1,1,204,2,3,3,12,89003,29667.6667,4
1,1,206,4,1,1,6,121185,121185,6
1,1,207,1,1,1,4,36275,36275,4
1,1,207,2,3,3,9,125845,41948.3333,3
1,1,207,3,2,2,14,118093,59046.5,7
1,1,207,4,5,5,41,540308,108061.6,8.2
1,1,220,1,30,30,128,2568128,85604.2667,4.27
1,1,220,2,38,38,295,4699377,123667.8158,7.76
1,1,220,3,61,61,750,10391262,170348.5574,12.3
1,1,220,4,17,17,306,5028169,295774.6471,18
1,1,222,2,3,3,12,277622,92540.6667,4
1,1,222,3,4,4,25,240251,60062.75,6.25
1,1,222,4,2,2,22,220119,110059.5,11
1,1,223,2,1,1,12,141981,141981,12
1,1,223,3,4,4,39,403900,100975,9.75
1,1,224,2,2,2,24,271887,135943.5,12
1,1,224,3,1,1,5,77684,77684,5
1,1,224,4,1,1,11,122813,122813,11
1,1,226,2,1,1,10,67432,67432,10
1,1,227,1,13,13,41,873811,67216.2308,3.15
1,1,227,2,31,31,194,3383485,109144.6774,6.26
1,1,227,3,15,15,121,2080348,138689.8667,8.07
1,1,227,4,4,4,42,666480,166620,10.5
1,1,228,1,1,1,4,34842,34842,4
1,1,228,2,3,3,6,160160,53386.6667,2
1,1,229,1,2,2,8,139726,69863,4
1,1,229,2,9,9,58,971953,107994.7778,6.44
1,1,229,3,9,9,72,872781,96975.6667,8
1,1,229,4,3,3,60,923657,307885.6667,20
1,1,230,1,7,7,26,468386,66912.2857,3.71
1,1,230,2,37,37,254,3707558,100204.2703,6.86
1,1,230,3,40,40,486,6863171,171579.275,12.15
1,1,230,4,12,12,226,3783199,315266.5833,18.83
1,1,231,1,15,15,59,1153548,76903.2,3.93
1,1,231,2,32,32,158,2834538,88579.3125,4.94
1,1,231,3,14,14,95,1677582,119827.2857,6.79
1,1,231,4,5,5,80,892406,178481.2,16
1,1,232,1,1,1,4,68883,68883,4
1,1,232,2,2,2,6,125125,62562.5,3
1,1,232,3,1,1,5,171260,171260,5
1,1,240,2,8,8,54,457715,57214.375,6.75
1,1,240,3,14,14,72,698674,49905.2857,5.14
1,1,240,4,2,2,19,163090,81545,9.5
1,1,241,2,6,6,31,313581,52263.5,5.17
1,1,241,3,7,7,39,351821,50260.1429,5.57
1,1,241,4,3,3,24,283039,94346.3333,8
1,1,242,2,3,3,4,34677,11559,1.33
1,1,242,3,4,4,16,176396,44099,4
1,1,242,4,1,1,38,470995,470995,38
1,1,243,1,1,1,7,51384,51384,7
1,1,243,2,4,4,16,135782,33945.5,4
1,1,243,3,8,8,43,429039,53629.875,5.38
1,1,243,4,3,3,29,282254,94084.6667,9.67
1,1,244,2,5,5,18,132528,26505.6,3.6
1,1,244,3,8,8,49,362747,45343.375,6.13
1,1,244,4,3,3,42,528420,176140,14
1,1,245,1,2,2,3,26529,13264.5,1.5
1,1,245,2,5,5,19,147655,29531,3.8
1,1,245,3,7,7,39,348098,49728.2857,5.57
